fileName,sectionNumber,fileNumber,tableName,sectionTitle
"FREQ_AL",3,88,"DRVAL2022","Percent distribution of library expenses, by function and total library expenditures per FTE enrollment"
"FREQ_AL",4,88,"DRVAL2022","Number of full-time equivalent (FTEs) library staff "
"GRPELLSSL",1,89,"GR2022_PELL_SSL","Pell and Direct Subsidized loan cohorts"
"FREQ_OM",1,90,"DRVOM2022","Full-time first-time"
"FREQ_OM",2,90,"DRVOM2022","Part-time first-time"
"FREQ_OM",3,90,"DRVOM2022","Full-time non-first-time"
"FREQ_OM",4,90,"DRVOM2022","Part-time non-first-time"
"CUSTOMCG",1,91,"CustomCGIDS2022","Custom comparison groups"
"ICDATAPC",1,92,"IC2022_PCCAMPUSES","Directory information"
"ICDATAPC",2,92,"IC2022_PCCAMPUSES","Award levels offered"
"ICDATAPC",3,92,"IC2022_PCCAMPUSES","Price of attendance of full-time, first-time undergraduate students (charges for full academic year)"
"ICDATAPC",4,92,"IC2022_PCCAMPUSES","Price of attendance of full-time, first-time undergraduate students (charges for largest program)"
"GRGENDER",1,93,"GR2022_GENDER","Gender unknown"
