SurveyOrder,Tablenumber,TableName,varNumber,varOrder,varName,Codevalue,Frequency,Percent,valueOrder,valueLabel,varTitle
10,10,"HD2021",10026,11,"FIPS","31",41,0.65,28,"Nebraska","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","32",41,0.65,29,"Nevada","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","33",37,0.59,30,"New Hampshire","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","34",162,2.58,31,"New Jersey","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","35",46,0.73,32,"New Mexico","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","36",432,6.87,33,"New York","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","37",166,2.64,34,"North Carolina","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","38",26,0.41,35,"North Dakota","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","39",283,4.50,36,"Ohio","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","40",99,1.57,37,"Oklahoma","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","41",77,1.22,38,"Oregon","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","42",312,4.96,39,"Pennsylvania","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","44",22,0.35,40,"Rhode Island","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","45",93,1.48,41,"South Carolina","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","46",28,0.45,42,"South Dakota","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","47",153,2.43,43,"Tennessee","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","48",408,6.49,44,"Texas","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","49",65,1.03,45,"Utah","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","50",20,0.32,46,"Vermont","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","51",145,2.31,47,"Virginia","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","53",104,1.65,48,"Washington","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","54",72,1.14,49,"West Virginia","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","55",91,1.45,50,"Wisconsin","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","56",10,0.16,51,"Wyoming","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","60",1,0.02,52,"American Samoa","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","64",1,0.02,53,"Federated States of Micronesia","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","66",3,0.05,54,"Guam","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","68",1,0.02,55,"Marshall Islands","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","69",1,0.02,56,"Northern Marianas","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","70",1,0.02,57,"Palau","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","72",139,2.21,58,"Puerto Rico","FIPS state code"
10,10,"HD2021",10026,11,"FIPS","78",1,0.02,59,"Virgin Islands","FIPS state code"
10,10,"HD2021",10031,12,"OBEREG","0",7,0.11,1,"U.S. Service schools","Bureau of Economic Analysis (BEA) regions"
10,10,"HD2021",10031,12,"OBEREG","1",337,5.36,2,"New England (CT, ME, MA, NH, RI, VT)","Bureau of Economic Analysis (BEA) regions"
10,10,"HD2021",10031,12,"OBEREG","2",1025,16.30,3,"Mid East (DE, DC, MD, NJ, NY, PA)","Bureau of Economic Analysis (BEA) regions"
10,10,"HD2021",10031,12,"OBEREG","3",891,14.17,4,"Great Lakes (IL, IN, MI, OH, WI)","Bureau of Economic Analysis (BEA) regions"
10,10,"HD2021",10031,12,"OBEREG","4",491,7.81,5,"Plains (IA, KS, MN, MO, NE, ND, SD)","Bureau of Economic Analysis (BEA) regions"
10,10,"HD2021",10031,12,"OBEREG","5",1536,24.42,6,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)","Bureau of Economic Analysis (BEA) regions"
10,10,"HD2021",10031,12,"OBEREG","6",665,10.57,7,"Southwest (AZ, NM, OK, TX)","Bureau of Economic Analysis (BEA) regions"
10,10,"HD2021",10031,12,"OBEREG","7",236,3.75,8,"Rocky Mountains (CO, ID, MT, UT, WY)","Bureau of Economic Analysis (BEA) regions"
10,10,"HD2021",10031,12,"OBEREG","8",953,15.15,9,"Far West (AK, CA, HI, NV, OR, WA)","Bureau of Economic Analysis (BEA) regions"
10,10,"HD2021",10031,12,"OBEREG","9",148,2.35,10,"Other U.S. jurisdictions (AS, FM, GU, MH, MP, PR, PW, VI)","Bureau of Economic Analysis (BEA) regions"
10,10,"HD2021",10076,31,"OPEFLAG","1",5974,94.99,1,"Participates in Title IV federal financial aid programs","OPE Title IV eligibility indicator code"
10,10,"HD2021",10076,31,"OPEFLAG","2",89,1.42,2,"Branch campus of a main campus that participates in Title IV","OPE Title IV eligibility indicator code"
10,10,"HD2021",10076,31,"OPEFLAG","3",28,0.45,3,"Deferment only - limited participation","OPE Title IV eligibility indicator code"
10,10,"HD2021",10076,31,"OPEFLAG","4",,,4,"New participants (became eligible during winter collection)","OPE Title IV eligibility indicator code"
10,10,"HD2021",10076,31,"OPEFLAG","8",,,5,"New participants (became eligible during spring collection)","OPE Title IV eligibility indicator code"
10,10,"HD2021",10076,31,"OPEFLAG","5",160,2.54,6,"Not currently participating in Title IV, has an OPE ID number","OPE Title IV eligibility indicator code"
10,10,"HD2021",10076,31,"OPEFLAG","6",33,0.52,7,"Not currently participating in Title IV, does not have OPE ID number","OPE Title IV eligibility indicator code"
10,10,"HD2021",10076,31,"OPEFLAG","7",5,0.08,8,"Stopped participating during the survey year","OPE Title IV eligibility indicator code"
10,10,"HD2021",10086,32,"SECTOR","0",71,1.13,1,"Administrative Unit","Sector of institution"
10,10,"HD2021",10086,32,"SECTOR","1",784,12.47,2,"Public, 4-year or above","Sector of institution"
10,10,"HD2021",10086,32,"SECTOR","2",1655,26.32,3,"Private not-for-profit, 4-year or above","Sector of institution"
10,10,"HD2021",10086,32,"SECTOR","3",355,5.64,4,"Private for-profit, 4-year or above","Sector of institution"
10,10,"HD2021",10086,32,"SECTOR","4",911,14.49,5,"Public, 2-year","Sector of institution"
10,10,"HD2021",10086,32,"SECTOR","5",145,2.31,6,"Private not-for-profit, 2-year","Sector of institution"
10,10,"HD2021",10086,32,"SECTOR","6",563,8.95,7,"Private for-profit, 2-year","Sector of institution"
10,10,"HD2021",10086,32,"SECTOR","7",235,3.74,8,"Public, less-than 2-year","Sector of institution"
10,10,"HD2021",10086,32,"SECTOR","8",65,1.03,9,"Private not-for-profit, less-than 2-year","Sector of institution"
10,10,"HD2021",10086,32,"SECTOR","9",1489,23.68,10,"Private for-profit, less-than 2-year","Sector of institution"
10,10,"HD2021",10086,32,"SECTOR","99",16,0.25,11,"Sector unknown (not active)","Sector of institution"
10,10,"HD2021",10091,33,"ICLEVEL","1",2845,45.24,1,"Four or more years","Level of institution"
10,10,"HD2021",10091,33,"ICLEVEL","2",1639,26.06,2,"At least 2 but less than 4 years","Level of institution"
10,10,"HD2021",10091,33,"ICLEVEL","3",1789,28.45,3,"Less than 2 years (below associate)","Level of institution"
10,10,"HD2021",10091,33,"ICLEVEL","-3",16,0.25,4,"{Not available}","Level of institution"
10,10,"HD2021",10096,34,"CONTROL","1",1994,31.71,1,"Public","Control of institution"
10,10,"HD2021",10096,34,"CONTROL","2",1868,29.70,2,"Private not-for-profit","Control of institution"
10,10,"HD2021",10096,34,"CONTROL","3",2411,38.34,3,"Private for-profit","Control of institution"
10,10,"HD2021",10096,34,"CONTROL","-3",16,0.25,4,"{Not available}","Control of institution"
10,10,"HD2021",10101,35,"HLOFFER","1",178,2.83,2,"Award of less than one academic year","Highest level of offering"
10,10,"HD2021",10101,35,"HLOFFER","2",1611,25.62,3,"At least 1, but less than 2 academic yrs","Highest level of offering"
10,10,"HD2021",10101,35,"HLOFFER","3",1108,17.62,4,"Associate's degree","Highest level of offering"
10,10,"HD2021",10101,35,"HLOFFER","4",531,8.44,5,"At least 2, but less than 4 academic yrs","Highest level of offering"
10,10,"HD2021",10101,35,"HLOFFER","5",702,11.16,6,"Bachelor's degree","Highest level of offering"
10,10,"HD2021",10101,35,"HLOFFER","6",12,0.19,7,"Postbaccalaureate certificate","Highest level of offering"
10,10,"HD2021",10101,35,"HLOFFER","7",719,11.43,8,"Master's degree","Highest level of offering"
10,10,"HD2021",10101,35,"HLOFFER","8",158,2.51,9,"Post-master's certificate","Highest level of offering"
10,10,"HD2021",10101,35,"HLOFFER","9",1254,19.94,10,"Doctor's degree","Highest level of offering"
10,10,"HD2021",10101,35,"HLOFFER","-2",,,11,"Not applicable, first-professional only","Highest level of offering"
10,10,"HD2021",10101,35,"HLOFFER","-3",16,0.25,12,"{Not available}","Highest level of offering"
10,10,"HD2021",10106,36,"UGOFFER","1",5984,95.15,1,"Undergraduate degree or certificate offering","Undergraduate offering"
10,10,"HD2021",10106,36,"UGOFFER","2",289,4.60,2,"No undergraduate offering","Undergraduate offering"
10,10,"HD2021",10106,36,"UGOFFER","-3",16,0.25,3,"{Not available}","Undergraduate offering"
10,10,"HD2021",10111,37,"GROFFER","1",2143,34.08,1,"Graduate degree or certificate offering","Graduate offering"
10,10,"HD2021",10111,37,"GROFFER","2",4130,65.67,2,"No graduate offering","Graduate offering"
10,10,"HD2021",10111,37,"GROFFER","-3",16,0.25,3,"{Not available}","Graduate offering"
10,10,"HD2021",10122,38,"HDEGOFR1","11",539,8.57,2,"Doctor's degree - research/scholarship and professional practice","Highest degree offered"
10,10,"HD2021",10122,38,"HDEGOFR1","12",319,5.07,3,"Doctor's degree - research/scholarship","Highest degree offered"
10,10,"HD2021",10122,38,"HDEGOFR1","13",328,5.22,4,"Doctor's degree -  professional practice","Highest degree offered"
10,10,"HD2021",10122,38,"HDEGOFR1","14",68,1.08,6,"Doctor's degree - other","Highest degree offered"
10,10,"HD2021",10122,38,"HDEGOFR1","20",875,13.91,7,"Master's degree","Highest degree offered"
10,10,"HD2021",10122,38,"HDEGOFR1","30",710,11.29,8,"Bachelor's degree","Highest degree offered"
10,10,"HD2021",10122,38,"HDEGOFR1","40",1338,21.28,9,"Associate's degree","Highest degree offered"
10,10,"HD2021",10122,38,"HDEGOFR1","0",2096,33.33,10,"Non-degree granting","Highest degree offered"
10,10,"HD2021",10122,38,"HDEGOFR1","-3",16,0.25,11,"{Not available}","Highest degree offered"
10,10,"HD2021",10126,39,"DEGGRANT","1",4177,66.42,1,"Degree-granting","Degree-granting status"
10,10,"HD2021",10126,39,"DEGGRANT","2",2096,33.33,2,"Nondegree-granting, primarily postsecondary","Degree-granting status"
10,10,"HD2021",10126,39,"DEGGRANT","-3",16,0.25,5,"{Not available}","Degree-granting status"
10,10,"HD2021",10151,42,"HBCU","1",102,1.62,1,"Yes","Historically Black College or University"
10,10,"HD2021",10151,42,"HBCU","2",6187,98.38,2,"No","Historically Black College or University"
10,10,"HD2021",10156,41,"HOSPITAL","1",95,1.51,1,"Yes","Institution has hospital"
10,10,"HD2021",10156,41,"HOSPITAL","2",2542,40.42,5,"No","Institution has hospital"
10,10,"HD2021",10156,41,"HOSPITAL","-1",15,0.24,6,"Not reported","Institution has hospital"
10,10,"HD2021",10156,41,"HOSPITAL","-2",3637,57.83,7,"Not applicable","Institution has hospital"
10,10,"HD2021",10161,40,"MEDICAL","1",204,3.24,1,"Yes","Institution grants a medical degree"
10,10,"HD2021",10161,40,"MEDICAL","2",5885,93.58,2,"No","Institution grants a medical degree"
10,10,"HD2021",10161,40,"MEDICAL","-1",27,0.43,3,"Not reported","Institution grants a medical degree"
10,10,"HD2021",10161,40,"MEDICAL","-2",173,2.75,4,"Not applicable","Institution grants a medical degree"
10,10,"HD2021",10166,43,"TRIBAL","1",35,0.56,1,"Yes","Tribal college"
10,10,"HD2021",10166,43,"TRIBAL","2",6254,99.44,2,"No","Tribal college"
10,10,"HD2021",10171,97,"CARNEGIE","15",151,2.40,1,"Doctoral/Research Universities--Extensive","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","16",105,1.67,2,"Doctoral/Research Universities--Intensive","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","21",473,7.52,3,"Masters Colleges and Universities I","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","22",102,1.62,4,"Masters Colleges and Universities II","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","31",215,3.42,5,"Baccalaureate Colleges--Liberal Arts","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","32",290,4.61,6,"Baccalaureate Colleges--General","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","33",39,0.62,7,"Baccalaureate/Associates Colleges","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","40",1159,18.43,9,"Associates Colleges","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","51",214,3.40,10,"Theological seminaries and other specialized faith-related institutions","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","52",41,0.65,11,"Medical schools and medical centers","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","53",70,1.11,12,"Other separate health profession schools","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","54",20,0.32,13,"Schools of engineering and technology","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","55",25,0.40,14,"Schools of business and management","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","56",59,0.94,15,"Schools of art, music, and design","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","57",17,0.27,16,"Schools of law","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","58",5,0.08,17,"Teachers colleges","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","59",41,0.65,18,"Other specialized institutions","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","60",31,0.49,19,"Tribal colleges","Carnegie Classification 2000"
10,10,"HD2021",10171,97,"CARNEGIE","-2",3232,51.39,20,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)","Carnegie Classification 2000"
10,10,"HD2021",10176,51,"LOCALE","11",1484,23.60,1,"City: Large","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","12",754,11.99,2,"City: Midsize","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","13",810,12.88,3,"City: Small","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","21",1531,24.34,4,"Suburb: Large","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","22",185,2.94,5,"Suburb: Midsize","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","23",131,2.08,6,"Suburb: Small","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","31",123,1.96,7,"Town: Fringe","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","32",424,6.74,8,"Town: Distant","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","33",321,5.10,9,"Town: Remote","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","41",350,5.57,10,"Rural: Fringe","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","42",112,1.78,11,"Rural: Distant","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","43",61,0.97,12,"Rural: Remote","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10176,51,"LOCALE","-3",3,0.05,13,"{Not available}","Degree of urbanization (Urban-centric locale)"
10,10,"HD2021",10181,70,"OPENPUBL","1",6287,99.97,1,"Institution is open to the public","Institution open to the general public"
10,10,"HD2021",10181,70,"OPENPUBL","0",2,0.03,2,"Institution is not open to the public","Institution open to the general public"
10,10,"HD2021",10186,71,"ACT","A",6105,97.07,1,"Active - institution active ","Status of institution"
10,10,"HD2021",10186,71,"ACT","N",52,0.83,2,"New (active) - added during the current year","Status of institution"
10,10,"HD2021",10186,71,"ACT","R",4,0.06,3,"Restore (active) - restored to the current universe","Status of institution"
10,10,"HD2021",10186,71,"ACT","M",33,0.52,5,"Closed in current year (active has data)","Status of institution"
10,10,"HD2021",10186,71,"ACT","C",14,0.22,7,"Combined with other institution","Status of institution"
10,10,"HD2021",10186,71,"ACT","D",64,1.02,8,"Delete out of business","Status of institution"
10,10,"HD2021",10186,71,"ACT","I",,,9,"Inactive due to hurricane related problems","Status of institution"
10,10,"HD2021",10186,71,"ACT","O",,,10,"Out-of-scope of IPEDS - not postsecondary","Status of institution"
10,10,"HD2021",10186,71,"ACT","P",,,11,"Potential new/add institution","Status of institution"
10,10,"HD2021",10186,71,"ACT","Q",,,12,"Potential restore institution","Status of institution"
10,10,"HD2021",10186,71,"ACT","W",,,15,"Potential add not within scope of IPEDS","Status of institution"
10,10,"HD2021",10186,71,"ACT","X",,,16,"Potential restore not within scope of IPEDS","Status of institution"
10,10,"HD2021",10186,71,"ACT","G",17,0.27,17,"Perfect child campus - data reported with main campus, but is listed on college navigator","Status of institution"
10,10,"HD2021",10196,73,"DEATHYR","2021",111,1.76,1,"2021","Year institution was deleted from IPEDS"
10,10,"HD2021",10196,73,"DEATHYR","-2",6178,98.24,6,"Not applicable","Year institution was deleted from IPEDS"
10,10,"HD2021",10206,75,"CYACTIVE","1",6194,98.49,1,"Yes","Institution is active in current year"
10,10,"HD2021",10206,75,"CYACTIVE","2",,,2,"No, potential add or restore","Institution is active in current year"
10,10,"HD2021",10206,75,"CYACTIVE","3",95,1.51,3,"No, closed, combined, or out-of-scope","Institution is active in current year"
10,10,"HD2021",10211,76,"POSTSEC","1",6259,99.52,1,"Primarily postsecondary institution","Primarily postsecondary indicator"
10,10,"HD2021",10211,76,"POSTSEC","2",30,0.48,2,"Not primarily postsecondary","Primarily postsecondary indicator"
10,10,"HD2021",10211,76,"POSTSEC","3",,,3,"Not postsecondary","Primarily postsecondary indicator"
10,10,"HD2021",10216,77,"PSEFLAG","1",6162,97.98,1,"Active postsecondary institution","Postsecondary institution indicator"
10,10,"HD2021",10216,77,"PSEFLAG","2",32,0.51,2,"Not primarily postsecondary or open to public","Postsecondary institution indicator"
10,10,"HD2021",10216,77,"PSEFLAG","3",95,1.51,3,"Not active","Postsecondary institution indicator"
10,10,"HD2021",10221,78,"PSET4FLG","1",6015,95.64,1,"Title IV postsecondary institution","Postsecondary and Title IV institution indicator"
10,10,"HD2021",10221,78,"PSET4FLG","2",147,2.34,2,"Non-Title IV postsecondary institution
","Postsecondary and Title IV institution indicator"
10,10,"HD2021",10221,78,"PSET4FLG","3",30,0.48,3,"Title IV NOT primarily postsecondary institution
","Postsecondary and Title IV institution indicator"
10,10,"HD2021",10221,78,"PSET4FLG","4",,,4,"Non-Title IV NOT primarily postsecondary institution
","Postsecondary and Title IV institution indicator"
10,10,"HD2021",10221,78,"PSET4FLG","5",,,5,"Title IV postsecondary institution that is NOT open to the public","Postsecondary and Title IV institution indicator"
10,10,"HD2021",10221,78,"PSET4FLG","6",2,0.03,6,"Non-Title IV postsecondary institution that is NOT open to the public
","Postsecondary and Title IV institution indicator"
10,10,"HD2021",10221,78,"PSET4FLG","9",95,1.51,9,"Institution is not active in current universe
","Postsecondary and Title IV institution indicator"
10,11,"FLAGS2021",10231,102,"STAT_IC","1",6158,97.92,1,"Respondent","Response status -  Institutional characteristics component"
10,11,"FLAGS2021",10231,102,"STAT_IC","2",8,0.13,2,"Partial respondent, imputed","Response status -  Institutional characteristics component"
