UNITID,CAMPUSID,PCINSTNM,PCADDR,PCCITY,PCSTABBR,PCZIP,PCFIPS,PCOBEREG,PCCHFNM,PCCHFTITLE,PCGENTELE,PCEIN,PCDUNS,PCOPEID,PCOPEFLAG,OLDUNITID,PCWEBADDR,PCADMINURL,PCFAIDURL,PCAPPLURL,PCNPRICURL,PCVETURL,PCATHURL,PCDISAURL,PCSECTOR,PCICLEVEL,PCCONTROL,PCHLOFFER,PCUGOFFER,PCGROFFER,PCHDEGOFR1,PCDEGGRANT,PCHBCU,PCTRIBAL,PCLOCALE,PCOPENPUBL,PCACT,PCCYACTIVE,PCPOSTSEC,PCPSEFLAG,PCPSET4FLG,PCCBSA,PCCBSATYPE,PCCSA,PCNECTA,PCCOUNTYCD,PCCOUNTYNM,PCCNGDSTCD,PCLONGITUD,PCLATITUDE,PCLEVEL1,PCLEVEL1A,PCLEVEL1B,PCLEVEL2,PCLEVEL3,PCLEVEL4,PCLEVEL5,PCLEVEL6,PCLEVEL7,PCLEVEL8,PCLEVEL17,PCLEVEL18,PCLEVEL19,PCFT_FTUG,PCALLONCAM,PCAPPLFEEU,PCROOM,PCCHG1AT0,PCCHG1AF0,PCCHG1AY0,PCCHG1AT1,PCCHG1AF1,PCCHG1AY1,PCCHG1AT2,PCCHG1AF2,PCCHG1AY2,PCCHG1AT3,PCCHG1AF3,PCCHG1AY3,PCCHG1TGTD,PCCHG1FGTD,PCCHG2AT0,PCCHG2AF0,PCCHG2AY0,PCCHG2AT1,PCCHG2AF1,PCCHG2AY1,PCCHG2AT2,PCCHG2AF2,PCCHG2AY2,PCCHG2AT3,PCCHG2AF3,PCCHG2AY3,PCCHG2TGTD,PCCHG2FGTD,PCCHG3AT0,PCCHG3AF0,PCCHG3AY0,PCCHG3AT1,PCCHG3AF1,PCCHG3AY1,PCCHG3AT2,PCCHG3AF2,PCCHG3AY2,PCCHG3AT3,PCCHG3AF3,PCCHG3AY3,PCCHG3TGTD,PCCHG3FGTD,PCCHG4AY0,PCCHG4AY1,PCCHG4AY2,PCCHG4AY3,PCCHG5AY0,PCCHG5AY1,PCCHG5AY2,PCCHG5AY3,PCCHG6AY0,PCCHG6AY1,PCCHG6AY2,PCCHG6AY3,PCCHG7AY0,PCCHG7AY1,PCCHG7AY2,PCCHG7AY3,PCCHG8AY0,PCCHG8AY1,PCCHG8AY2,PCCHG8AY3,PCCHG9AY0,PCCHG9AY1,PCCHG9AY2,PCCHG9AY3,PCCIPCODE1,PCCIPLGTH1,PCPRGMSR1,PCMTHCMP1,PCWKCMP1,PCLNAYHR1,PCLNAYWK1,PCCHG1PY0,PCCHG1PY1,PCCHG1PY2,PCCHG1PY3,PCCHG4PY0,PCCHG4PY1,PCCHG4PY2,PCCHG4PY3,PCCHG5PY0,PCCHG5PY1,PCCHG5PY2,PCCHG5PY3,PCCHG6PY0,PCCHG6PY1,PCCHG6PY2,PCCHG6PY3,PCCHG7PY0,PCCHG7PY1,PCCHG7PY2,PCCHG7PY3,PCCHG8PY0,PCCHG8PY1,PCCHG8PY2,PCCHG8PY3,PCCHG9PY0,PCCHG9PY1,PCCHG9PY2,PCCHG9PY3
116350,1,"TONI&GUY Hairdressing Academy - Costa Mesa","3400 Bristol Street","Costa Mesa","CA","92626",6,8,"Marcus Renz","CFO, VP of Finance","6576223258","953087274 ","151030988","02255401  ",1,468714,"www.toniguy.edu/","costamesa.toniguy.edu/","www.toniguy.edu/financial-aid/"," ","costamesa.toniguy.edu/net-price-calculator/"," "," ","toniguy.com/academy/costa_mesa_beauty_school/default.aspx",9,3,3,2,1,2,0,2,2,2,12,1,"A",1,1,1,1,31080,1,348,-2,6059,"Orange County",648,-117.885047,33.693088,0,0,0,1,0,0,-2,-2,-2,-2,-2,-2,-2,1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.0401",1600,1,12,48,900,26,18900,19400,19400,19400,3130,3577,3577,3334,,,,,,,,,18372,22104,22104,23004,5664,6180,6180,6348,5820,5544,5544,5700
116439,1,"IDEA at ATEP","1624 Valencia Ave","Tustin","CA","92782-0223",6,8,"John Hernandez","President","9493678301","952479872 ","179222377","02539501  ",1,478971,"https://atep.ivc.edu/","https://admissions.ivc.edu/apply","https://financialaid.ivc.edu/","https://admissions.ivc.edu/apply","https://misweb.cccco.edu/npc/892/npcalc.htm"," "," ","students.ivc.edu/dsps/Pages/default.aspx",4,2,1,3,1,2,40,1,2,2,13,1,"A",1,1,1,1,31080,1,348,-2,6059,"Orange County",645,-117.831546,33.714304,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,2,1104,38,1142,1104,40,1144,1104,40,1144,1104,44,1148,,,1104,38,1142,1104,40,1144,1104,40,1144,1104,44,1148,,,8016,38,8054,6912,40,6952,8304,42,8346,8784,44,8828,,,1917,1972,1008,844,,,,,,,,,13780,15084,16676,19841,4250,5274,4328,4842,4366,4698,4328,4275,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117104,1,"Life Pacific University-Virginia","900 Life Drive","Christiansburg","VA","24073",51,5,"Pres. Angie Richey","President","5403947200","951684068 ","103891214","02270602  ",1,487579,"https://www.lifepacific.edu/virginiacampus","https://www.lifepacific.edu/admissions","https://www.lifepacific.edu/financial-aid","https://lpc.empower-xl.com/forms/gen_cf/inq_app_exec_screen.cfm?scor_id=3C307B0AE9C5AC4AB32C80D8191E5EE4","https://www.lifepacific.edu/netpricecalculator/npcalc.htm"," "," ","https://lifepacific.edu/life-challenges",5,2,2,3,1,2,40,1,2,2,13,1,"A",1,1,1,1,13980,1,-2,-2,51121,"Montgomery County",5109,-80.414888,37.116221,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,50,1,4960,5100,10060,5280,5100,10380,5536,6000,11536,13056,225,13281,,,4960,5100,10060,5280,5100,10380,5536,6000,11536,13056,225,13281,,,4960,5100,10060,5280,5100,10380,5536,6000,11536,13056,225,13281,,,1917,1971,1080,1125,,,,8160,,,,3079,13779,15084,16580,17253,4348,3717,4742,4861,4465,4698,4263,4375,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118541,1,"Marymount University - Waterfront Campus","222 West Sixth Street","San Pedro","CA","90731-3316",6,8,"Dr. Brian Marcotte","President","3103775501","952113260 ","075293118","01047402  ",5,484464,"www.marymountcalifornia.edu/","www.marymountcalifornia.edu/admissions","www.marymountcalifornia.edu/financial-aid","www.marymountcalifornia.edu/apply-online","www.marymountcalifornia.edu/financial-aid/net-price-calculator"," "," ","www.marymountcalifornia.edu/disability-resources",2,1,2,7,1,1,20,1,2,2,11,1,"A",1,1,1,2,31080,1,348,-2,6037,"Los Angeles County",644,-118.281861,33.738991,0,0,0,0,1,0,1,0,1,0,0,0,0,1,2,0,2,34134,2000,36134,34134,2000,36134,35158,1750,36908,35158,1750,36908,,,34134,2000,36134,34134,2000,36134,35158,1750,36908,35158,1750,36908,,,34134,2000,36134,34134,2000,36134,35158,1750,36908,35158,1750,36908,,,1828,1828,1828,1828,,,,,,,,,12138,12138,12138,12138,3194,2914,2824,2824,3194,2914,2824,2824,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118912,1,"MiraCosta College - San Elijo Campus","3333 Manchester Avenue","Cardiff","CA","92007-1516",6,8,"Dr. Sunny Cooke","Superintendent/President","7609444449","956006662 ","078753365","00123901  ",1,489317,"miracosta.edu/","www.miracosta.edu/admissions-and-aid/index.html","www.miracosta.edu/student-services/financial-aid/index.html","www.miracosta.edu/admissions-and-aid/new-students.html","https://misweb.cccco.edu/npc/051/npcalc.htm"," "," ","www.miracosta.edu/student-services/dsps/index.html",1,1,1,5,1,2,30,1,2,2,21,1,"A",1,1,1,1,41740,1,-2,-2,6073,"San Diego County",649,-117.258561,33.018082,1,0,1,1,1,0,1,0,0,0,0,0,0,1,2,0,2,1288,48,1336,1104,48,1152,1104,48,1152,1104,48,1152,,,1288,48,1336,1104,48,1152,1104,48,1152,1104,48,1152,,,7296,48,7344,7464,48,7512,8064,48,8112,8472,48,8520,,,1916,1972,1080,1972,,,,,,,,,13780,15084,22088,15084,4512,5276,4636,5276,4368,4700,4160,4700,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119173,1,"Mount Saint Mary's University - Doheny Campus","10 Chester Place","Los Angeles","CA","90007",6,8,"Dr. Ann McElaney-Johnson","President","2134772500","951641455 ","069927150","00124301  ",1,438027,"www.msmu.edu/","www.msmu.edu/admission/","www.msmu.edu/academics/financial-aid/","www.msmu.edu/admission/undergraduate-admission/application-instructions/","www.msmu.edu/academics/financial-aid/cost-calculator.aspx"," "," ","www.msmu.edu/student-life/disability-services/",2,1,2,9,1,1,13,1,2,2,11,1,"A",1,1,1,1,31080,1,348,-2,6037,"Los Angeles County",637,-118.277012,34.030668,1,0,1,0,1,0,1,1,1,1,0,1,0,1,2,50,1,40018,1152,41170,41592,1200,42792,43224,1250,44474,44088,1300,45388,,,40018,1152,41170,41592,1200,42792,43224,1250,44474,44088,1300,45388,,,40018,1152,41170,41592,1200,42792,43224,1250,44474,44088,1300,45388,,,2074,2074,2158,2242,12170,12455,12704,12704,5873,5874,6164,6382,13422,13952,14510,15080,5873,5874,6164,6382,5873,5874,6164,6382,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122409,1,"San Diego State University-Imperial Valley Campus","720 Heber Ave","Calexico","CA","92231",6,8,"Adela de la Torre","President","7607685500","330373293 ","877144592","00115101  ",1,441186,"www.ivcampus.sdsu.edu/"," "," "," "," "," "," ","https://ivcampus.sdsu.edu/student_affairs/sasc",1,1,1,7,1,1,20,1,2,2,22,1,"A",1,1,1,1,20940,1,-2,-2,6025,"Imperial County",651,-115.493060,32.672219,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,70,2,,,,5742,117,5859,5742,234,5976,5742,342,6084,,,,,,5742,117,5859,5742,234,5976,5742,342,6084,,,,,,17622,117,17739,17622,234,17856,17622,342,17964,,,,1969,1079,1091,,,,,,,,,,13533,13860,15375,,3737,3515,3654,,3343,3986,3959,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122658,1,"San Joaquin General Hospital School of Radiation T","500 W. Hospital Rd","French Camp","CA","95231",6,8,"Jerrold Camara","Director","2094686233","946000531 ","044009934","00128001  ",1,122676,"www.deltacollege.edu/","www.deltacollege.edu/department/admissions-records-registration","www.deltacollege.edu/department/financial-aid-scholarships-veterans-services","www.deltacollege.edu/apply","www.deltacollege.edu/student-services/financial-aid-and-scholarships/cost-estimates/net-price-calculator","www.deltacollege.edu/student-services/financial-aid-and-scholarships/veterans-services/veterans-benefits-programs"," ","www.deltacollege.edu/department/disability-support-programs-services",4,2,1,4,1,2,0,2,2,2,21,1,"A",1,1,1,1,44700,1,488,-2,6077,"San Joaquin County",609,-121.283898,37.886956,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,1288,0,1288,1288,0,1288,1288,0,1288,1288,0,1288,,,1288,0,1288,1288,0,1288,1288,0,1288,1288,0,1288,,,8848,0,8848,8708,0,8708,9072,0,9072,9072,0,9072,,,1917,1971,1080,1125,,,,,,,,,13779,15084,16580,17253,4248,5274,4642,4761,4365,4698,4163,4275,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122931,1,"Jesuit School of Theology of Santa Clara Universit","1735 LeRoy Ave","Berkeley","CA","94709",6,8,"Lisa A. Kloppenberg","Acting President","5105495000","941156462 ","079073763","00132604  ",1,116624,"www.scu.edu/jst","www.scu.edu/jst/admissions/","www.scu.edu/jst/admissions/scholarships-and-aid-/","www.scu.edu/jst/admissions/application-checklists/","https://www.scu.edu/financialaid/net-price-calculator/","https://www.scu.edu/financialaid/financial-aid-basics/selective-service-and-veteran-benefits/","https://www.scu.edu/student-right-to-know-act/","www.scu.edu/oae/",2,1,2,9,2,1,11,1,2,2,12,1,"A",1,1,1,1,41860,1,488,-2,6001,"Alameda County",613,-122.258512,37.877591,0,0,0,0,0,0,0,0,1,0,1,1,0,2,-2,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124292,1,"Thomas Aquinas College - New England","231 Main Street","Northfield","MA","01360-1034",25,1,"Michael McLean","President","4138461200","941698615 ","092519438","02358001  ",1,494384,"https://thomasaquinas.edu/","https://thomasaquinas.edu/admissions","https://thomasaquinas.edu/financialaid","https://thomasaquinas.edu/admissions/apply","https://thomasaquinas.edu/admission/net-price-calculator-financial-aid-calculator"," "," ","https://dev-thomas-aquinas.pantheonsite.io/sites/default/files/media/file/ServicesToStudentsWithDisabilities.pdf",2,1,2,5,1,2,30,1,2,2,42,1,"A",1,1,1,1,44140,1,-2,73300,25011,"Franklin County",2502,-72.444887,42.714545,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,,,,25600,0,25600,26000,0,26000,26000,0,26000,,,,,,25600,0,25600,26000,0,26000,26000,0,26000,,,,,,25600,0,25600,26000,0,26000,26000,0,26000,,,,0,0,0,,8800,9400,9400,,3764,2980,3028,,15084,16580,17252,,5322,4690,4810,,4746,4210,4324,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125091,1,"Victor Valley Community College - Aviation Technol","18368 Phantom West","Victorville","CA","92394-7929",6,8,"Daniel Walden, Ph.D.","Superintendent/President","7602469794","956006576 ","073583577","00133501  ",1,495332,"www.vvc.edu/academic/aviation-tech/","https://www.vvc.edu/admissions-records","https://www.vvc.edu/financial-aid","https://www.vvc.edu/apply","https://misweb.cccco.edu/npc/991/npcalc.htm","https://www.vvc.edu/veterans-resource-center-0"," ","https://www.vvc.edu/access-resource-center-2",4,2,1,4,1,2,40,1,2,2,21,1,"A",1,1,1,1,40140,1,348,-2,6071,"San Bernardino County",608,-117.378228,34.584687,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,2,,,,,,,1402,22,1424,1424,23,1447,,,,,,,,,1402,22,1424,1424,23,1447,,,,,,,,,9352,22,9374,9210,23,9233,,,,,1971,1917,,,,,,,,,,,15084,17253,,,3996,3843,,,3564,3276,"-2",,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
