surveyNumber,OrderInSurvey,FileNumber,fileName,tableTitle,multiRecord,qualifyingField1,searchable,qualifyingField2,defaultValue1,defaultValue2,q1type,q2type,qualifyingField3,defaultValue3,q3type,permitLevel,caveat,showCodeValue1,showCodeValue2,showCodeValue3
3,1,63,"CFREQ","Total awards/degrees and number of students receiving awards/degrees  by award level: July 1, 2020 to June 30, 2021",0,,"Y",,,,,,,,,1,,,,
8,1,64,"GRFREQ","Frequently used graduation rates",0,,"Y",,,,,,,,,1,,,,
6,1,65,"FFREQ","Frequently used financial indicators for all institutions: Fiscal year 2021",0,,"Y",,,,,,,,,1,,0,0,0
4,1,66,"SAFREQ","Average salaries for full-time nonmedical instructional staff equated to 9-month contracts: Academic year 2021-22",0,,"Y",,,,,,,,,1,,,,
11,1,67,"EAPFREQ","Full-time equivalent staff by occupational category: Fall 2021",0,,"Y",,,,,,,,,1,,,,
5,1,68,"SFREQ","Full-time equivalent staff by occupational category: Fall 2021",0,,"Y",,,,,,,,,1,,,,
14,21,73,"E12_HD","Response status - 12-month enrollment",0,,"Y",,,,,,,,,1,,,,
2,3,74,"EF_Atotals","Gender, attendance status, and level of student:  Fall 2021",1,"EFLEVEL","Y",,"10",,"N",,,,,1,,0,,
2,10,75,"EF_F","Student-to-faculty ratio: Fall 2021",0,,"Y",,,,,,,,,1,,,,
2,12,76,"EFDisab","Undergraduate students from fall 2020 with disabilities: Fall 2021",0,,"Y",,,,,,,,,1,,,,
7,2,77,"NetPrice","Average net price for full-time, first-time degree/certificate-seeking undergraduate students, 2018-19 to 2020-21",0,,"Y",,,,,,,,,1,,0,0,0
7,3,78,"NetPricePub","Full-time, first-time degree/certificate-seeking undergraduate students paying the in-state or in-district tuition rate by living arrangement in public institutions, 2018-19 to 2020-21",0,,"Y",,,,,,,,,1,,0,0,0
7,4,79,"NetPricePrV","Full-time, first-time degree/certificate-seeking undergraduate students by living arrangement in private not-for-profit and for-profit institutions, 2018-19 to 2020-21",0,,"Y",,,,,,,,,1,,0,0,0
3,3,80,"Comp_B","Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2020 to June 30, 2021",0,,"Y",,,,,,,,,1,,,,
3,4,81,"Comp_C","Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2020 to June 30, 2021",1,"AWLEVELC","Y",,"5",,"N",,,,,1,,0,,
2,11,82,"EF_DistEd","Distance education status and level of student : Fall 2021",1,"EFDELEV","Y",,"1",,"N",,,,,1,,,,
3,5,83,"C_DE","Number of programs offered and number of programs offered via distance education, by award level: July 1, 2020 to June 30, 2021",1,"CIPCODE","Y",,"99",,"A",,,,,1,,1,,
10,5,84,"Freq_Netprice","Net price: 2020-21",0,,"Y",,,,,,,,,1,,,,
12,1,85,"Admissions","Admission considerations, applications, admissions, enrollees and test scores",0,,"Y",,,,,,,,,1,,0,0,0
7,5,86,"SFAVB","Military Servicemembers and Veteran's Benefits, 2020-21",0,,"Y",,,,,,,,,1,,0,0,0
16,1,87,"ACLIBRARY","Academic Libraries: Fiscal year 2021",0,,"Y",,,,,,,,,1,,0,0,0
10,14,88,"FREQ_AL","Academic library indicators: Fiscal year 2021",0,,"Y",,,,,,,,,1,,,,
8,4,89,"GRPELLSSL","Graduation rate data for Pell Grant and Subsidized Stafford Loan recipients , 150% of normal time to complete  - cohort year 2015 (4-year) and cohort year 2018 (2-year)  institutions",1,"PSGRTYPE","Y",,"1",,"N",,,,,1,,0,,
10,11,90,"FREQ_OM","Outcome measure rates ",0,,"Y",,,,,,,,,1,,,,
1,4,91,"CustomCG","Custom comparison group submitted by institution: 2022 Data Feedback Report",0,,"Y",,,,,,,,,1,,,,
