fileName,sectionNumber,fileNumber,tableName,sectionTitle
"CFREQ",1,63,"DRVC2021","Total awards/degrees by award level"
"GRFREQ",1,64,"DRVGR2021","Frequently used graduation rates"
"FFREQ",1,65,"DRVF2021","Percent distribution of core revenues, by source"
"SAFREQ",1,66,"DRVHR2021","Salaries of full-time instructional faculty, by academic rank"
"EAPFREQ",1,67,"DRVHR2021","Full-time equivalent staff by assigned position"
"SFREQ",1,68,"DRVHR2021","Full-time equivalent staff by assigned position"
"E12_HD",1,73,"Flags2021","12-month enrollment response status information"
"EF_Atotals",1,74,"EF2021","Gender, attendance status, and level of student"
"EF_F",1,75,"EF2021D","Student-to-faculty ratio"
"EFDisab",1,76,"IC2021","Undergraduate students with disabilities: Fall 2020"
"Netprice",1,77,"SFA2021","Students paying the in-state or in-district tuition rate (public institutions)"
"C_B",1,80,"C2021_B","Completers by race/ethnicity and gender"
"C_C",1,81,"C2021_C","Completers by award level and by race/ethnicity, gender and age"
"EF_DistEd",1,82,"EF2021A_Dist","Distance education status, by level of student"
"C_DE",1,83,"C2021DEP","Programs offered by award level"
"Freq_Netprice",1,84,"SFA2021","Students paying the in-state or in-district tuition rate (public institutions)"
"SFAVB",1,86,"SFA2021","Military Servicemembers and Veteran's Benefits, 2020-21"
"ACLIBRARY",1,87,"AL2021","Library characteristics
"
"GRPELLSSL",1,89,"GR2021_PELL_SSL","Pell and Subsidized Stafford loan cohorts"
"FREQ_OM",1,90,"DRVOM2021","Full-time first-time"
"CUSTOMCG",1,91,"CustomCGIDS2021","Custom comparison groups"
"ICDATA",2,1,"IC2021","Institution classifications"
"F_FASB",2,28,"F2021_F2","Summary of changes in net assets"
"F_F3",2,29,"F2021_F3","Summary of changes in equity"
"F_GASB",2,35,"F2021_F1A","Plant, property, and equipment"
"SFA",2,39,"SFA2021","Student counts: Full-time, first-time degree/certificate-seeking undergraduates - 2020-21 full year cohort"
"GR200",2,40,"GR200_21","Cohort year 2017, 2-year and less-than 2-year institutions"
"FREQ_EF_FALL",2,53,"DRVEF2021","Percent women and percent by race/ethnicity by student level"
"Freq_GR",2,56,"GR200_21","Total degree/certificate seeking cohort from year 2017,  less-than 4-year institutions, 200 percent of normal time to complete"
"FREQ10_F",2,58,"DRVF2021","Core revenues per FTE enrollment, by source"
"FREQ_HR",2,59,"DRVHR2021","FTE Staff by occupational category"
"FFREQ",2,65,"DRVF2021","Core revenues per FTE enrollment, by source"
"Netprice",2,77,"SFA2021","All students (private not-for-profit and for-profit institutions and institutions)"
"Freq_Netprice",2,84,"SFA2021","All students (private not-for-profit and for-profit institutions)"
"ACLIBRARY",2,87,"AL2021","Collections"
"FREQ_AL",2,88,"DRVAL2021","Percent distribution of library collection, by material type"
"FREQ_OM",2,90,"DRVOM2021","Part-time first-time"
"ICDATA",3,1,"IC2021","Institutional control or affiliation"
"F_FASB",3,28,"F2021_F2","Student grants, discounts and allowances"
"F_F3",3,29,"F2021_F3","Student grants, discounts and allowances"
"F_GASB",3,35,"F2021_F1A","Revenues and other additions"
"SFA",3,39,"SFA2021","Financial aid: Full-time, first-time, degree/certificate-seeking undergraduates"
"FREQ_EF_FALL",3,53,"DRVEF2021","Retention rates, student faculty ratio,  and GRS cohort indicators"
"Freq_GR",3,56,"DRVGR2021","Bachelor's degree seeking cohort from year 2015, 150 percent of normal time to complete"
"FREQ10_F",3,58,"DRVF2021","Percent distribution of core expenses, by function"
"FFREQ",3,65,"DRVF2021","Percent distribution of core expenses, by function"
"NetpricePUB",3,78,"SFA2021","Students who were awarded grant or scholarship aid from federal, state or local government or the institution"
"ACLIBRARY",3,87,"AL2021","Expenditures"
"FREQ_AL",3,88,"DRVAL2021","Percent distribution of library expenses, by function and total library expenditures per FTE enrollment"
"FREQ_OM",3,90,"DRVOM2021","Full-time non-first-time"
"ICDATA",4,1,"IC2021","Award levels offered"
"F_FASB",4,28,"F2021_F2","Revenues and investment return"
"F_F3",4,29,"F2021_F3","Revenues and investment return"
"F_GASB",4,35,"F2021_F1A","Expenses and other deductions"
"SFA",4,39,"SFA2021","Financial aid: All undergraduates"
"FREQ_EF_FALL",4,53,"DRVEF2021","Adult age (25-64) enrollment and percent of undergraduates by age"
"Freq_GR",4,56,"GR200_21","Bachelor's degree seeking cohort from year 2013, 200 percent of normal time to complete"
"FREQ10_F",4,58,"DRVF2021","Core expenses per FTE enrollment, by function"
"FFREQ",4,65,"DRVF2021","Core expenses per FTE enrollment, by function"
"NetpricePUB",4,78,"SFA2021","Students who were awarded any Title IV Federal financial aid, by income level "
"ACLIBRARY",4,87,"AL2021","Library services"
"FREQ_AL",4,88,"DRVAL2021","Number of full-time equivalent (FTEs) library staff "
"FREQ_OM",4,90,"DRVOM2021","Part-time non-first-time"
"ICDATA",5,1,"IC2021","Types of educational offerings"
"F_FASB",5,28,"F2021_F2","Expenses by functional and natural classification"
"F_F3",5,29,"F2021_F3","Expenses by function"
"F_GASB",5,35,"F2021_F1A","Pension and postemployment benefits other than pension (OPEB)"
"FREQ_EF_FALL",5,53,"DRVEF2021","Residence of first-time degree/certificate seeking undergraduate students"
"FREQ10_F",5,58,"DRVF2021","Salaries and wages as a percent of total expenses, by function"
"FFREQ",5,65,"DRVF2021","Salaries and wages as a percent of total expenses, by function"
"NetpricePRV",5,79,"SFA2021","Students who were awarded grant or scholarship aid from federal, state or local government or the institution"
"ACLIBRARY",5,87,"AL2021","Number of full-time equivalent (FTEs) library staff "
"F_FASB",6,28,"F2021_F2","Details on endowment assets"
"F_F3",6,29,"F2021_F3","Income tax expenses"
"F_GASB",6,35,"F2021_F1A","Summary of changes in net position"
"FREQ_EF_FALL",6,53,"DRVEF2021","Percent of students enrolled in distance education by student level"
"FREQ10_F",6,58,"DRVF2021","Endowment assets (year end) per FTE enrollment"
"FFREQ",6,65,"DRVF2021","Endowment assets (year end) per FTE enrollment"
"NetpricePRV",6,79,"SFA2021","Students who were awarded any Title IV Federal financial aid, by income level "
"Admissions",6,85,"ADM2021","Admission considerations"
"ACLIBRARY",6,87,"AL2021","Response status"
"ICDATA",7,2,"IC2021","Services and programs for servicemembers and veterans"
"F_FASB",7,28,"F2021_F2","Financial health"
"F_F3",7,29,"F2021_F3","Financial health"
"F_GASB",7,35,"F2021_F1A","Scholarships and fellowships/Discounts and allowances"
"FREQ10_F",7,58,"DRVF2021","Equity ratios"
"FFREQ",7,65,"DRVF2021","Equity ratios"
"Admissions",7,85,"ADM2021","Number of applications, admissions and  enrollees"
"ICDATA",8,2,"IC2021","Non-traditional credits, special learning opportunities and  selected student services"
"F_GASB",8,35,"F2021_F1A","Details on endowment assets"
"Admissions",8,85,"ADM2021","SAT and ACT test scores"
"ICDATA",9,2,"IC2021","Distance education"
"F_GASB",9,35,"F2021_F1A","Financial health"
"Admissions",9,85,"ADM2021","Response status information"
"ICDATA",10,2,"IC2021","Library services and resources"
"ICDATA",11,1,"IC2021","Enrollment levels offered"
"ICDATA",12,5,"IC2021","Application fees, room and board charges, tuition plans and other student charge questions"
"ICDATA",13,5,"IC2021_PY","Price of attendance for entering students in the largest program "
"ICDATA",14,5,"IC2021_PY","Price of attendance for entering students in other programs "
"ICDATA",15,5,"IC2021_AY","Tuition and fees for undergraduate and graduate students (academic year programs)"
"ICDATA",16,5,"IC2021_AY","Tuition and fees for Doctor's professional practice students in selected programs (academic year programs)"
"ICDATA",17,5,"IC2021_AY","Price of attendance of full-time, first-time undergraduate students (charges for full academic year)"
"ICDATA",18,1,"IC2021","Conference associations and other information"
"ICDATA",20,1,"IC2021Mission","Mission statement"
"ICDATA",22,2,"IC2021","Undergraduate students with disabilities"
